Size, Seq, Par, Libc
200000, 0.749551, 0.320893, 0.325171
800000, 0.720303, 0.317109, 0.322338
10000, 0.714699, 0.317109, 0.315666
100, 0.718472, 0.314177, 0.321931
400000, 0.770759, 0.316257, 0.310318
1000000, 0.783727, 0.317377, 0.320956
1000, 0.734466, 0.327126, 0.326427
600000, 0.706603, 0.327126, 0.312205
100000, 0.711153, 0.323451, 0.341970
1000000, 0.728980, 0.321175, 0.323855
100, 0.961586, 0.323522, 0.315079
10000, 0.905085, 0.334457, 0.323329
200000, 0.751637, 0.307494, 0.312843
1000, 0.723474, 0.307494, 0.320032
800000, 0.817695, 0.313213, 0.307621
600000, 0.673680, 0.320561, 0.323247
400000, 0.702764, 0.311287, 0.318171
600000, 0.741851, 0.313602, 0.337115
800000, 0.679437, 0.319085, 0.316573
1000, 0.716479, 0.316559, 0.313805
100000, 0.811388, 0.317335, 0.329391
100, 0.747046, 0.317335, 0.315330
1000000, 0.851015, 0.324873, 0.313702
200000, 0.754882, 0.324873, 0.317367
400000, 0.744429, 0.311208, 0.321177
10000, 0.846613, 0.329450, 0.320136
600000, 0.746744, 0.309564, 0.308593
800000, 0.748995, 0.317341, 0.310306
100, 0.672082, 0.317341, 0.319669
1000000, 0.678404, 0.327370, 0.320576
100000, 0.758905, 0.319704, 0.311108
10000, 0.688178, 0.323935, 0.332102
1000, 0.955489, 0.307862, 0.309153
400000, 0.710796, 0.326368, 0.322674
200000, 0.697070, 0.309380, 0.310680
600000, 0.851808, 0.314047, 0.328375
1000000, 0.716346, 0.314047, 0.328918
1000, 0.753898, 0.312461, 0.323384
200000, 0.704703, 0.312461, 0.307563
800000, 0.737161, 0.325646, 0.312636
400000, 0.692277, 0.325883, 0.333789
10000, 0.694979, 0.314452, 0.316885
100, 0.761916, 0.314224, 0.315937
100000, 0.714386, 0.314224, 0.319801
100000, 0.664623, 0.313877, 0.322321
200000, 0.709351, 0.322170, 0.317949
1000000, 0.709021, 0.322170, 0.310722
1000, 0.917524, 0.331643, 0.327270
10000, 0.794964, 0.323736, 0.319532
400000, 0.678050, 0.323736, 0.318311
100, 0.707128, 0.317716, 0.310816
800000, 0.669960, 0.311146, 0.312477
600000, 0.853468, 0.303066, 0.314931
400000, 0.706147, 0.303066, 0.337503
800000, 0.676002, 0.316468, 0.360459
600000, 0.719383, 0.306596, 0.312357
10000, 0.708934, 0.325048, 0.322776
1000, 0.712282, 0.325048, 0.312369
1000000, 0.654782, 0.318776, 0.315370
200000, 0.810282, 0.313716, 0.308068
100, 0.776678, 0.313716, 0.309931
100000, 0.791548, 0.318179, 0.334144
100, 0.732709, 0.318647, 0.321830
200000, 0.852492, 0.318647, 0.310751
1000, 0.630770, 0.314589, 0.336552
400000, 0.756135, 0.331308, 0.318334
10000, 0.741495, 0.311801, 0.335320
100000, 0.746513, 0.310816, 0.317870
800000, 0.636609, 0.315299, 0.325981
600000, 0.751206, 0.315299, 0.333997
1000000, 0.783297, 0.316827, 0.334813
600000, 0.852114, 0.311832, 0.321569
100, 0.779384, 0.315443, 0.324814
1000, 0.709887, 0.327933, 0.310916
800000, 0.691932, 0.313279, 0.321927
200000, 0.747255, 0.323963, 0.315625
1000000, 0.637382, 0.323963, 0.326917
10000, 0.797031, 0.318006, 0.322631
400000, 0.820294, 0.314884, 0.313917
100000, 0.711639, 0.314884, 0.317858
400000, 0.662982, 0.323502, 0.330296
10000, 0.716622, 0.311900, 0.326565
200000, 0.713921, 0.326919, 0.316673
100, 0.703240, 0.326919, 0.311399
1000000, 0.671717, 0.317626, 0.313768
